date,store,category,vendor_no,item,state_btl_cost,btl_price,bottle_qty,total
2014-01-08,2113,1081015,305,64136,13.86,20.79,1,20.79
2014-01-08,2178,1031110,300,40118,6.67,10.01,6,60.06
2014-01-08,2178,1051100,350,54446,5.48,8.22,3,24.66
2014-01-08,2178,1051100,434,54057,6.38,9.56,12,114.72
2014-01-08,2178,1081380,55,84166,9.5,14.25,2,28.5
2014-01-08,2178,1081315,380,84636,7.45,11.17,1,11.17
2014-01-08,2178,1081365,421,83907,4.54,6.81,12,81.72
2014-01-08,2200,1051120,350,55506,5.48,8.22,4,32.88
2014-01-08,2290,1051100,55,54436,4.5,6.74,4,26.96
2014-01-08,2290,1081015,305,64136,13.86,20.79,2,41.58
2014-01-08,2290,1081250,350,79816,4.65,6.97,2,13.94
2014-01-08,2413,1081380,55,84170,9.5,14.25,26,370.5
2014-01-08,2413,1081400,434,86251,2.21,3.31,36,119.16
2014-01-08,2465,1081400,55,86390,2.13,3.19,36,114.84
2014-01-08,2478,1081400,434,86251,2.21,3.31,12,39.72
2014-01-08,2500,1031100,260,39868,16,23.99,6,143.94
2014-01-08,2500,1081015,305,64136,13.86,20.79,3,62.37
2014-01-08,2500,1081250,350,79816,4.65,6.97,4,27.88
2014-01-08,2500,1081315,380,84636,7.45,11.17,2,22.34
2014-01-08,2501,1041150,370,33256,6.49,9.74,12,116.88
2014-01-08,2501,1062050,389,42666,9.5,14.25,4,57
2014-01-08,2501,1062050,305,42242,9.42,14.13,4,56.52
2014-01-08,2501,1051100,55,54436,4.5,6.74,12,80.88
2014-01-08,2501,1081380,55,84170,9.5,14.25,4,57
2014-01-08,2501,1081305,55,84159,9.5,14.25,4,57
2014-01-08,2501,1081312,380,83363,5.15,7.73,4,30.92
2014-01-08,2501,1081315,380,84636,7.45,11.17,4,44.68
2014-01-08,2502,1081015,305,64136,13.86,20.79,12,249.48
2014-01-08,2502,1081305,65,82600,11.54,17.31,2,34.62
2014-01-08,2505,1051120,350,55506,5.48,8.22,12,98.64
2014-01-08,2505,1081315,65,82881,6.77,10.15,4,40.6
2014-01-08,2508,1081015,305,64136,13.86,20.79,12,249.48
2014-01-08,2508,1081250,350,79816,4.65,6.97,3,20.91
2014-01-08,2508,1081365,421,83906,3.67,5.5,12,66
2014-01-08,2523,1051100,55,54436,4.5,6.74,4,26.96
2014-01-08,2523,1081020,350,85316,4.58,6.87,1,6.87
2014-01-08,2524,1081312,380,83363,5.15,7.73,4,30.92
2014-01-08,2524,1081400,434,86251,2.21,3.31,12,39.72
2014-01-08,2536,1011250,65,19235,24.67,37.01,2,74.02
2014-01-08,2536,1011250,259,18120,13.25,20.38,2,40.76
2014-01-08,2536,1081312,434,81966,4.09,6.14,12,73.68
2014-01-08,2543,1041150,370,33256,6.49,9.74,2,19.48
2014-01-08,2543,1081015,305,64136,13.86,20.79,12,249.48
2014-01-08,2543,1081312,350,84486,4.09,6.14,2,12.28
2014-01-08,2543,1081315,65,82881,6.77,10.15,4,40.6
2014-01-08,2548,1081380,55,84170,9.5,14.25,4,57
2014-01-08,2560,1041200,350,33717,5.17,7.75,6,46.5
2014-01-08,2560,1051100,350,54447,6.53,9.8,6,58.8
2014-01-08,2560,1051120,350,55506,5.48,8.22,12,98.64
2014-01-08,2560,1081015,305,64136,13.86,20.79,6,124.74
2014-01-08,2560,1081230,434,78616,4.5,6.75,6,40.5
2014-01-08,2560,1081315,65,82881,6.77,10.15,6,60.9
2014-01-08,2560,1081355,350,84496,4.09,6.14,4,24.56
2014-01-08,2560,1081365,421,83907,4.54,6.81,6,40.86
2014-01-08,2566,1051100,350,54448,11.29,16.94,6,101.64
2014-01-08,2566,1051100,350,54446,5.48,8.22,12,98.64
2014-01-08,2566,1081220,350,78456,4.65,6.97,2,13.94
2014-01-08,2566,1081400,350,86506,3.33,4.99,12,59.88
2014-01-08,2567,1011400,65,16416,9.97,14.95,2,29.9
2014-01-08,2567,1041150,370,33256,6.49,9.74,1,9.74
2014-01-08,2637,1062050,205,42437,6.49,10.49,12,125.88
2014-01-08,2576,1041150,370,33256,6.49,9.74,3,29.22
2014-01-08,2576,1081220,350,78456,4.65,6.97,3,20.91
2014-01-08,2585,1051100,350,54448,11.29,16.94,6,101.64
2014-01-08,2585,1081015,305,64136,13.86,20.79,3,62.37
2014-01-08,2585,1081315,65,71446,11.54,17.31,1,17.31
2014-01-08,2585,1081315,65,71441,15.83,23.74,1,23.74
2014-01-08,2585,1081335,434,82146,4.09,6.14,12,73.68
2014-01-08,2585,1081315,65,82881,6.77,10.15,3,30.45
2014-01-08,2585,1081400,350,86506,3.33,4.99,5,24.95
2014-01-08,2585,1081400,65,86112,2.22,3.33,2,6.66
2014-01-08,2594,1051100,350,54447,6.53,9.8,12,117.6
2014-01-08,2594,1051100,55,54436,4.5,6.74,12,80.88
2014-01-08,2594,1051120,350,55506,5.48,8.22,12,98.64
2014-01-08,2594,1081380,55,84166,9.5,14.25,2,28.5
2014-01-08,2594,1081305,55,84159,9.5,14.25,2,28.5
2014-01-08,2594,1081312,380,83363,5.15,7.73,2,15.46
2014-01-08,2594,1081400,65,86112,2.22,3.33,12,39.96
2014-01-08,2594,1081315,380,84636,7.45,11.17,4,44.68
2014-01-08,2594,1081312,350,84486,4.09,6.14,1,6.14
2014-01-08,2596,1081355,350,84496,4.09,6.14,4,24.56
2014-01-08,2596,1051100,55,54436,4.5,6.74,4,26.96
2014-01-08,2596,1081015,305,64136,13.86,20.79,2,41.58
