productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEGAPB057816,Women's Performance Full Zip Jacket Black,11,0.18181818181818182,10,2
GGOEGAAX0731," Men's Fleece Hoodie Black",142,0.014084507042253521,17,2
GGOEGAAB010517," Men's 100% Cotton Short Sleeve Hero Tee Black",50,0.04,8,2
GGOEGALJ036414," Women's Tee Grey",23,0.08695652173913043,19,2
GGOEGAAJ032317," Men's Short Sleeve Hero Tee Charcoal",25,0.08,8,2
GGOEYAAJ032514," Men's Short Sleeve Hero Tee Charcoal",41,0.04878048780487805,12,2
GGOEAAAP081217,Android Men's Take Charge Short Sleeve Tee Purple,7,0.2857142857142857,15,2
GGOEGALQ036613," Women's Scoop Neck Tee White",59,0.03389830508474576,6,2
GGOEGADJ056815," Men's Watershed Full Zip Hoodie Grey",105,0.01904761904761905,17,2
GGOEGAAC035014," Men's Bayside Graphic Tee",9,0.2222222222222222,14,2
GGOEAAEJ030913,Android Women's Long Sleeve Blended Cardigan Grey,58,0.034482758620689655,12,2
GGOEAHPJ004213,Android Stretch Fit Hat S/M,53,0.03773584905660377,12,2
GGOEGAAJ080614," Men's Bike Short Sleeve Tee Charcoal",53,0.03773584905660377,16,2
GGOEADHH055999,22 oz Android Bottle,738,0.0027100271002710027,4,2
GGOEGAAX0610," Onesie Red/Graphite",63,0.015873015873015872,19,1
GGOEGAAR010716," Men's 100% Cotton Short Sleeve Hero Tee Red",90,0.011111111111111112,12,1
GGOEGAAX0338," Men's Vintage Badge Tee Black",677,0.0014771048744460858,8,1
GGOEAAEH035216,Android Men's Vintage Henley,2,0.5,16,1
GGOEGAAB010515," Men's 100% Cotton Short Sleeve Hero Tee Black",193,0.0051813471502590676,19,1
GGOEGAAX0289," Women's Short Sleeve Hero Dark Grey",50,0.02,5,1
GGOEGAEJ030814," Women's Long Sleeve Blended Cardigan Charcoal",37,0.02702702702702703,8,1
GGOEGAAX0308," Women's Long Sleeve Blended Cardigan Charcoal",37,0.02702702702702703,18,1
GGOEAHPB076113,Android Stretch Fit Hat,10,0.1,14,1
GGOEGAAJ080613," Men's Bike Short Sleeve Tee Charcoal",29,0.034482758620689655,16,1
GGOEGATB060615," Women's Convertible Vest-Jacket Black",25,0.04,8,1
GGOEGAEJ030815," Women's Long Sleeve Blended Cardigan Charcoal",25,0.04,13,1
GGOEWAEA083899," Dress Socks",20,0.05,6,1
GGOEGALL074615," Women's Short Sleeve Badge Tee Navy",25,0.04,9,1
GGOEGADB059614," Men's Quilted Insulated Vest Black",27,0.037037037037037035,8,1
GGOEGAEJ028114," Women's Short Sleeve Badge Tee Grey",21,0.047619047619047616,12,1
GGOEGAAX0290," Women's Short Sleeve Hero Tee Charcoal",54,0.018518518518518517,16,1
GGOEGAAX0569," Men's Performance Full Zip Jacket Black",54,0.018518518518518517,12,1
GGOEGAAX0320,Android Men's Short Sleeve Hero Tee White,38,0.02631578947368421,11,1
GGOEGAEJ029915," Women's V-Neck Tee Charcoal",3,0.3333333333333333,5,1
GGOEAAAB034914,Android BTTF Moonshot Graphic Tee,12,0.08333333333333333,5,1
GGOEGALJ036413," Women's Tee Grey",12,0.08333333333333333,16,1
GGOEGAXR065129," Toddler Short Sleeve Tee Red",12,0.08333333333333333,7,1
GGOEGAAX0326," Men's Short Sleeve Badge Tee Charcoal",12,0.08333333333333333,11,1
GGOEGAEJ031316," Tri-blend Hoodie Grey",11,0.09090909090909091,10,1
GGOEGATH060714," Women's Convertible Vest-Jacket Sea Foam Green",19,0.05263157894736842,6,1
GGOEAXXX0812,Android Men's Take Charge Short Sleeve Tee Purple,19,0.05263157894736842,15,1
GGOEGAEC033117," Men's Long Sleeve Raglan Ocean Blue",9,0.1111111111111111,18,1
GGOEGAAX0579," Women's Short Sleeve Performance Tee Charcoal",18,0.05555555555555555,11,1
GGOEAAWN062649,Android Infant Short Sleeve Tee Pink,18,0.05555555555555555,8,1
GGOEGAAX0107," Men's 100% Cotton Short Sleeve Hero Tee Red",72,0.013888888888888888,8,1
GGOEGETR014599," Tube Power Bank",72,0.013888888888888888,8,1
GGOEWCKQ085457," Pack of 9 Decal Set",39,0.02564102564102564,18,1
GGOEGAAX0606," Women's Convertible Vest-Jacket Black",48,0.020833333333333332,10,1
GGOEGAEJ028113," Women's Short Sleeve Badge Tee Grey",26,0.038461538461538464,15,1
GGOEGAAX0761,Android Stretch Fit Hat Black,52,0.019230769230769232,19,1
GGOEGALQ036614," Women's Scoop Neck Tee White",52,0.019230769230769232,19,1
GGOEGAEJ028016," Women's Short Sleeve Hero Tee Grey",51,0.0196078431372549,6,1
GGOEGALL074613," Women's Short Sleeve Badge Tee Navy",33,0.030303030303030304,8,1
GGOEGAEB027813," Women's Short Sleeve Hero Tee Black",252,0.003968253968253968,11,1
GGOEGAYR068225," Youth Short Sleeve Tee Red",1,1,9,1
GGOEAAEB028314,Android Women's Short Sleeve Hero Tee Black,1,1,11,1
GGOEGAAX0733," Women's Short Sleeve Hero Tee Heather",1,1,7,1
GGOEGAAX0281," Women's Short Sleeve Badge Tee Grey",8,0.125,8,1
GGOEGAEJ029913," Women's V-Neck Tee Charcoal",8,0.125,12,1
GGOEAHPB076114,Android Stretch Fit Hat,8,0.125,5,1
GGOEGAWR061850," Infant Short Sleeve Tee Red",4,0.25,13,1
GGOEGAAX0596," Men's Quilted Insulated Vest Black",32,0.03125,8,1
GGOEAAWN062648,Android Infant Short Sleeve Tee Pink,32,0.03125,17,1
GGOEGAAJ032714," Men's Long & Lean Tee Grey",81,0.012345679012345678,14,1
GGOEGHPB003410," Snapback Hat Black",105,0.009523809523809525,3,1
GGOEAHPJ004314,Android Stretch Fit Hat M/L,59,0.01694915254237288,13,1
GGOEGATH060717," Women's Convertible Vest-Jacket Sea Foam Green",1,1,12,1
GGOEGAAX0297," Women's Short Sleeve Hero Tee Red Heather",16,0.0625,6,1
GGOEGAYQ069056," Youth Short Sleeve Tee White",14,0.07142857142857142,6,1
GGOEGAAB033814," Men's Vintage Badge Tee Black",395,0.002531645569620253,14,1
GGOEGAEJ028115," Women's Short Sleeve Badge Tee Grey",13,0.07692307692307693,8,1
GGOEYAAB031813," Men's Short Sleeve Hero Tee Black",27,0.037037037037037035,6,1
GGOEGAAJ059113," Men's Short Sleeve Performance Badge Tee Pewter",25,0.04,16,1
GGOEGAWQ062248," Infant Short Sleeve Tee White",7,0.14285714285714285,8,1
GGOEGALB034116," Women's Vintage Hero Tee Black",121,0.008264462809917356,9,1
GGOEGBPB081999,UpCycled Bike Saddle Bag,79,0.012658227848101266,12,1
GGOEGAAJ059114," Men's Short Sleeve Performance Badge Tee Pewter",107,0.009345794392523364,7,1
GGOEAAEH035214,Android Men's Vintage Henley,43,0.023255813953488372,15,1
GGOEGGCX056199,Gift Card- $100.00,77,0.012987012987012988,10,1
GGOEGAAX0309,Android Women's Long Sleeve Blended Cardigan Grey,28,0.03571428571428571,18,1
GGOEYAAB031814," Men's Short Sleeve Hero Tee Black",40,0.025,14,1
9184737," Pack of 9 Decal Set",0,null,14,0
9180833,Rubber Grip Ballpoint Pen 4 Pack,0,null,5,0
9181137," Alpine Style Backpack",0,null,14,0
9180824,Foam Can and Bottle Cooler,0,null,16,0
9182726," Men's Long & Lean Tee Charcoal",0,null,18,0
9183223," Spiral Leather Journal",0,null,18,0
9183221," Leather Journal-Black",0,null,15,0
9182765," Women's Convertible Vest-Jacket Sea Foam Green",0,null,10,0
9180862," Screen Cleaning Cloth",0,null,15,0
9180808,Basecamp Explorer Powerbank Flashlight,0,null,5,0
9184676,UpCycled Handlebar Bag,0,null,7,0
GGOEGAAX0598," Men's Convertible Vest-Jacket Pewter",0,null,17,0
